d13C,d15N,group
-16.178326798929337,14.881793488502913,1
-16.32607241799054,14.364963335459127,1
-16.221212639761603,14.817353126625411,1
-16.06052210699135,14.970033735666119,1
-16.16148980747671,14.991523971370109,1
-16.06267106369494,15.083103468002909,1
-16.131409789938264,14.902498831627359,1
-16.10883676199445,14.88561189318176,1
-16.203490822377976,14.567851908283858,1
-16.249138312653976,14.58801965960953,1
-16.194943091765488,15.046968742852886,1
-16.180870764355213,14.538897843269625,1
-16.36250577364704,15.661974623740166,1
-16.085449393740046,14.800437350221166,1
-16.198702690151194,15.18829002252667,1
-16.366243506615405,14.781449302585516,1
-16.102485365955104,14.739656395682816,1
-15.97039021255277,15.125771778423006,1
-16.35908936350685,15.225426974287313,1
-16.40841901490067,15.055340170334846,1
-16.023144260904388,15.02743917397383,1
-16.16167954701752,15.264642571847117,1
-15.529516123394021,15.141855312401795,1
-16.169216216127744,14.99375651314729,1
-16.141978780769467,15.027807928984666,1
-16.101061625004537,15.061376966344366,1
-16.053508087763095,14.873640331130007,1
-16.247346624411243,14.586937741945112,1
-16.300832016329576,15.018634372773501,1
-16.11870241587189,14.948880008464016,1
-16.1523213337393,14.52943083148419,1
-16.24437318747471,14.693058261781024,1
-16.19724884384667,15.212209016761914,1
-16.05724435447889,15.179516114917988,1
-16.011651312542686,15.168842093972902,1
-16.023597609721488,14.778291479778982,1
-16.117689117930066,14.909641282345849,1
-16.156280044922024,14.806658981900275,1
-16.276542312373024,14.706221003599413,1
-16.086914817173447,14.70160351503443,1
-16.16748448999695,14.973383053495528,1
-16.088781448573474,14.95729449474044,1
-16.113188700344274,14.72457057848519,1
-16.184814991968857,14.968678811378405,1
-16.149315478651395,14.890099190678876,1
-16.00699563667216,15.037049105521689,1
-16.350383406180548,14.822261767023077,1
-16.165743056616368,14.637609151147927,1
-16.207385416688908,15.132375589304809,1
-16.069220439090305,15.37603962311207,1
-16.21685410061479,14.806481332366555,1
-16.2053438648669,15.164904577432818,1
-16.103709965989854,14.26411150405057,1
-16.06347886095196,15.110354470122278,1
-16.29611888333376,14.788432684551731,1
-16.025235911089318,15.087736637116151,1
-16.184934331132705,14.994507288467195,1
-16.211338979763376,14.889233614477424,1
-16.139675259829964,15.0479077654221,1
-16.140550714806707,15.10500381916566,1
-16.126060337684926,15.239660934254001,1
-16.12176858380336,14.87790436336387,1
-16.134596674611885,14.891994177717812,1
-16.127378884346665,14.894271998164392,1
-16.069276458128254,14.835020627592973,1
-16.29605757665222,14.974820623864934,1
-16.13682495789812,14.497392084595136,1
-16.161565472609446,15.001301707851342,1
-16.12551899700948,15.09383711218574,1
-16.174216512604605,14.568384056145518,1
-16.150438098856753,14.963425003657859,1
-16.121450057167856,15.444742502002736,1
-16.076524673396563,14.919909502783655,1
-16.08736332590895,15.08984515430638,1
-16.20190628032322,15.034749214004847,1
-16.102607044222246,14.826786487768999,1
-16.076478678605888,14.785179085530254,1
-16.061372338587997,15.097381622341969,1
-16.354586943460173,14.730351637745699,1
-16.25410610243168,14.892892614480873,1
-16.19599022543481,15.073677178254282,1
-16.17061984223211,14.893614438414067,1
-15.973044509896669,14.95387396165065,1
-16.238653680478144,14.72708996089647,1
-16.14981884503608,14.977544858556486,1
-16.13516644225938,14.77565210927277,1
-16.08366533367952,15.027055252152168,1
-15.981597075805583,15.205094441065933,1
-15.968385352399237,15.404622989395916,1
-16.147793699047988,15.096829955650028,1
-16.021274695425895,15.23048158054145,1
-16.066702820743867,15.01435458121067,1
-16.067355458572695,14.710961169983316,1
-16.302551953133957,14.436747744479002,1
-16.014361546343984,15.021695711003543,1
-15.986774703040117,14.774227142967424,1
-15.969773239179085,14.906176032890794,1
-16.337391584370454,14.546164133243906,1
-16.192647836383145,14.98061243236535,1
-16.25796834511488,14.688758575299435,1
-15.961687023482762,14.877788641209682,1
-16.19068721711482,14.900889062525788,1
-16.164045265904875,15.238245450719822,1
-16.01059132030238,15.261985871935343,1
-16.204621013971046,14.835322762469872,1
-16.251035241426315,14.900610215993535,1
-15.808813758019078,15.659535787570997,1
-17.04384762280668,14.596181469463707,1
-16.333330260023097,14.560950412582494,1
-16.527283474398605,14.99524045991705,1
-16.034145546563423,15.474346851921256,1
-15.929126214202482,15.219175425472526,1
-16.205959239582565,15.35916261479716,1
