especie	furcal	base	radio	alto	gordo	angos	ojo	1erarc	dist.	largo	cabez	hueso	mandib	hueso	arriba	cabeza	boca	abiert	cachete	largo	ancho	orificio	densi	hocic	interbr	ojoatra	proye	base	altura	area	Intesti
jordani	0.27909979	0.096383276	0.065251428	0.070317786	0.043778925	0.040194631	0.026793177	0.059169306	0.033348233	0.035232376	0.084630433	0.0311023	0.03597522	0.051831638	0.025554104	0.08517161	0.037788561	0.025554104	0.044373441	0.018044503	0.035232376	0.04910878	0.84509804	0.023688843	0.018675286	0.037184955	0.014876768	0.022440869	0.046368743	0.011993115	0.208213269
jordani	0.28254659	0.098194909	0.06694679	0.078510521	0.0428525	0.038458252	0.028782053	0.061861857	0.036756246	0.035617859	0.08517161	0.033274795	0.033274795	0.045757491	0.022718507	0.091080469	0.031034234	0.025002269	0.045757491	0.016569101	0.039024108	0.045757491	0.84509804	0.023481096	0.013461435	0.041392685	0.015794267	0.027274085	0.045757491	0.009769488	0.243497377
jordani	0.286814092	0.093659069	0.059094684	0.0622951	0.042061345	0.035327962	0.028488538	0.056732632	0.03394653	0.03394653	0.082237518	0.033968667	0.033968667	0.043633797	0.023636035	0.081627982	0.032605104	0.024332578	0.04406117	0.015189199	0.03394653	0.053109689	0.903089987	0.021539678	0.017316359	0.039380506	0.12787317	0.022239589	0.043633797	0.008664034	0.215023346
jordani	0.277890192	0.101798933	0.064599246	0.070212177	0.040647115	0.039152124	0.030072466	0.062475553	0.036580509	0.034154276	0.081904104	0.032360239	0.032360239	0.052029	0.023135938	0.085956648	0.031598986	0.023912157	0.046576142	0.01608682	0.041392685	0.055517328	0.903089987	0.020017114	0.014504689	0.039900263	0.01052396	0.027003234	0.048512426	0.009493388	0.205143056
jordani	0.282994415	0.089485995	0.073003411	0.069881223	0.048033403	0.040052269	0.027107632	0.062932363	0.037405416	0.028889565	0.084061011	0.031921714	0.036006018	0.036350022	0.022938373	0.090084609	0.033287421	0.023636035	0.044725737	0.015189199	0.033168363	0.039508541	0.903089987	0.022938373	0.016608463	0.038707703	0.016608463	0.020838637	0.039508541	0.007491733	0.215023346
jordani	0.281343319	0.109363755	0.044076285	0.074217827	0.037788561	0.039594362	0.024000276	0.05897786	0.029158229	0.034762106	0.085712113	0.033240933	0.037788561	0.034762106	0.024000276	0.080823193	0.035065703	0.022128315	0.042289062	0.01455872	0.026328939	0.038918066	0.84509804	0.02493324	0.015512166	0.043183593	0.012645526	0.018360009	0.034762106	0.003288159	0.146832488
jordani	0.280070311	0.098244252	0.067900236	0.070748079	0.042908549	0.038344992	0.025935734	0.064313969	0.033281387	0.02489475	0.085400366	0.033732972	0.034505051	0.04383157	0.024359346	0.086770382	0.033732972	0.021189299	0.04517247	0.013970942	0.033281387	0.033281387	0.903089987	0.021189299	0.014778932	0.041392685	0.014778932	0.020393159	0.036826668	0.005395032	0.210339103
jordani	0.279725177	0.108219454	0.074536341	0.076865003	0.047233429	0.036323042	0.026872146	0.077380793	0.038301608	0.041112586	0.079181246	0.03119352	0.035472318	0.043905486	0.024258531	0.080718573	0.036323042	0.018098222	0.053813774	0.018098222	0.043905486	0.072195125	0.698970004	0.042231902	0.026002688	0.054629351	0.024258531	0.034619924	0.064298644	0.012520876	0.249588618
jordani	0.272835795	0.104291967	0.079181246	0.059076328	0.03913073	0.036856931	0.026474896	0.048478798	0.038752589	0.029834524	0.084320886	0.029963223	0.035715552	0.038752589	0.022958322	0.082272323	0.029963223	0.02059802	0.065526365	0.026474896	0.054357662	0.069421409	0.77815125	0.049218023	0.028803558	0.081244407	0.031119801	0.044763681	0.083980129	0.01300585	0.290352659
jordani	0.281246483	0.094733094	0.068881289	0.067140628	0.033298073	0.034553261	0.023123799	0.059910361	0.03879271	0.031714413	0.081437326	0.030776763	0.035804831	0.046743404	0.023766722	0.08199952	0.034553261	0.02183509	0.041392685	0.013363962	0.028645181	0.034762106	0.903089987	0.023766722	0.014021486	0.042624727	0.013363962	0.021189299	0.039293916	0.008600172	0.207920348
jordani	0.283471908	0.09196543	0.073683774	0.072298464	0.034636023	0.034636023	0.026232525	0.067648585	0.046625212	0.041392685	0.07506468	0.032360239	0.033878752	0.045322979	0.020017114	0.083259158	0.040647115	0.024686992	0.046576142	0.013711457	0.029383778	0.037426498	0.84509804	0.024686992	0.015296475	0.042879996	0.007312896	0.020017114	0.056904851	0.007534418	0.206673162
jordani	0.270784671	0.097225749	0.073884906	0.097225749	0.03488357	0.037788561	0.022315874	0.057366376	0.037563012	0.035074212	0.07720268	0.034154276	0.035611642	0.04249823	0.018549203	0.073678367	0.03488357	0.019305155	0.044967146	0.011685758	0.031314063	0.04249823	0.84509804	0.025305865	0.013985646	0.039954623	0.014749577	0.020059794	0.053401593	0.007833093	0.175564522
jordani	0.282735373	0.101231387	0.077367905	0.08278537	0.040404529	0.039414119	0.026328939	0.061640934	0.032529225	0.032529225	0.088136089	0.032417279	0.036429266	0.023481096	0.024280376	0.084576278	0.031408464	0.022222105	0.049218023	0.01494035	0.028028724	0.036983566	0.903089987	0.026328939	0.011781831	0.032417279	0.01389006	0.022222105	0.050508646	0.005032432	0.18610838
jordani	0.281285937	0.092642681	0.080786773	0.072699119	0.038752589	0.039634406	0.026215383	0.063069135	0.039709371	0.032624475	0.082386386	0.034316447	0.037868978	0.048061445	0.026215383	0.084774813	0.039634406	0.023481096	0.045757491	0.012368477	0.035472318	0.035472318	0.84509804	0.023481096	0.014240439	0.044888032	0.015173403	0.023481096	0.043905486	0.005395032	0.231016256
jordani	0.280475286	0.0932895	0.072991671	0.073683774	0.044362232	0.034636023	0.023912157	0.061765341	0.041392685	0.042706739	0.07506468	0.032360239	0.033120159	0.045322979	0.024686992	0.084609998	0.038402694	0.021579326	0.041392685	0.014504689	0.037426498	0.053078443	0.84509804	0.021579326	0.014504689	0.039152124	0.01052396	0.024686992	0.06069784	0.009981753	0.202580839
jordani	0.27989498	0.091080469	0.068804075	0.070653451	0.045322979	0.036761931	0.025305865	0.061745596	0.040194631	0.037788561	0.073107098	0.033423755	0.031408464	0.052029	0.024622475	0.085766127	0.035429738	0.025305865	0.044670395	0.013539399	0.034154276	0.055517328	0.84509804	0.02325246	0.014240439	0.03809005	0.016336796	0.027349608	0.055517328	0.012520876	0.164352856
